Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
3130; 5.646; 5.539; 0.0005773; 0.86; 0.9252; 8854.767402868698;
3140; 5.641; 5.539; 0.0005771; 1.467; 0.9387; 8727.031899627193;
3150; 5.668; 5.573; 0.0005769; 0.7634; 0.9265; 8841.743012113486;
3160; 5.658; 5.557; 0.0005767; 0.8268; 0.9339; 8771.61670296006;
3170; 5.641; 5.536; 0.0005765; 0.9574; 0.9362; 8750.55986895453;
3180; 5.63; 5.536; 0.0005763; 0.7233; 0.9281; 8826.246303981217;
3190; 5.615; 5.514; 0.0005761; 0.6919; 0.9414; 8702.018769252667;
3200; 5.65; 5.547; 0.000576; 0.7395; 0.9374; 8738.82894425953;
3210; 5.629; 5.53; 0.0005758; 0.6791; 0.9327; 8783.099094613051;
3220; 5.613; 5.52; 0.0005756; 0.9546; 0.9277; 8830.5289768716;
3230; 5.612; 5.523; 0.0005754; 0.7775; 0.9413; 8703.29500949872;
3240; 5.65; 5.544; 0.0005752; 0.7089; 0.9362; 8750.52866940526;
3250; 5.62; 5.521; 0.000575; 0.8275; 0.9359; 8752.6574345297;
3260; 5.607; 5.503; 0.0005748; 1.026; 0.9354; 8757.52069744651;
3270; 5.617; 5.512; 0.0005746; 0.8508; 0.9272; 8835.027078175672;
3280; 5.615; 5.506; 0.0005744; 0.7024; 0.9351; 8760.45241809195;
3290; 5.623; 5.512; 0.0005742; 0.8272; 0.9368; 8745.020980320245;
3300; 5.598; 5.494; 0.000574; 0.7221; 0.9389; 8724.924441731357;
